# File encoding:    UTF-8
# Name:             Signum! MATHEM to Unicode
# Unicode version:  13.0
# Table version:    1.0
# Table format:     Format A
# Date:             2021 February 23
# Authors:          Xiphoseer <xiphoseer AT mailbox.org>

0x73	0x03A3	# GREEK CAPITAL LETTER SIGMA                	# Σ
0x74	0x22A4	# DOWN TACK                                   	# ⊤
0x75	0x221E	# INFINITY                                   	# ∞
0x76	0x2282	# SUBSET OF                                 	# ⊂
0x77	0x221A	# SQUARE ROOT                               	# √
0x78	0x00D7	# MULTIPLICATION SIGN                       	# ×

0x7b	0xFF3B	# FULLWIDTH LEFT SQUARE BRACKET             	# ［
0x7c	0x2248	# ALMOST EQUAL TO                           	# ≈
0x7d	0xFF3D	# FULLWIDTH RIGHT SQUARE BRACKET             	# ］
0x7e	0x007E	# TILDE                                     	# ~ ASCII
